rank,name,homepage,page_url,feed_url,link_text,depth
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/subscribe-to-press-releases#tle-nav--menu,https://web.mit.edu/rss,RSS Feeds,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/subscribe-to-press-releases#site-nav--browse,http://web.mit.edu/feedback,Suggestions or feedback?,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/subscribe-to-press-releases#site-nav--browse,https://web.mit.edu/rss,RSS Feeds,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/for-mit-community#main,http://web.mit.edu/feedback,Suggestions or feedback?,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/for-mit-community#main,https://web.mit.edu/rss,RSS Feeds,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/for-mit-community#tle-nav--menu,http://web.mit.edu/feedback,Suggestions or feedback?,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/for-mit-community#tle-nav--menu,https://web.mit.edu/rss,RSS Feeds,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/for-mit-community#site-nav--browse,http://web.mit.edu/feedback,Suggestions or feedback?,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/for-mit-community#site-nav--browse,https://web.mit.edu/rss,RSS Feeds,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/inquiries#main,http://web.mit.edu/feedback,Suggestions or feedback?,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/inquiries#main,https://web.mit.edu/rss,RSS Feeds,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/inquiries#tle-nav--menu,http://web.mit.edu/feedback,Suggestions or feedback?,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/inquiries#tle-nav--menu,https://web.mit.edu/rss,RSS Feeds,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/inquiries#site-nav--browse,http://web.mit.edu/feedback,Suggestions or feedback?,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/press/inquiries#site-nav--browse,https://web.mit.edu/rss,RSS Feeds,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/research#main,https://web.mit.edu/feedback,Suggestions or feedback?,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/research/centers-labs-programs/,https://web.mit.edu/feedback,Suggestions or feedback?,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/research/research-alliances/,https://web.mit.edu/feedback,Suggestions or feedback?,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/feedback#main,https://web.mit.edu/feedback,Suggestions or feedback?,2
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,http://web.mit.edu/research/centers-labs-programs/#main,http://web.mit.edu/feedback,Suggestions or feedback?,3
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,http://web.mit.edu/research/research-alliances/#main,http://web.mit.edu/feedback,Suggestions or feedback?,3
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/research/centers-labs-programs/#main,https://web.mit.edu/feedback,Suggestions or feedback?,3
1,Massachusetts Institute of Technology (MIT),https://web.mit.edu/,https://web.mit.edu/research/research-alliances/#main,https://web.mit.edu/feedback,Suggestions or feedback?,3
2,University of Cambridge,https://www.cam.ac.uk/,https://www.cam.ac.uk/latest-news,https://www.cam.ac.uk/news/feed,https://www.cam.ac.uk/news/feed,0
2,University of Cambridge,https://www.cam.ac.uk/,https://www.cam.ac.uk/latest-news?page=866,https://www.cam.ac.uk/news/feed,https://www.cam.ac.uk/news/feed,1
2,University of Cambridge,https://www.cam.ac.uk/,https://www.cam.ac.uk/latest-news?page=1,https://www.cam.ac.uk/news/feed,https://www.cam.ac.uk/news/feed,1
2,University of Cambridge,https://www.cam.ac.uk/,https://www.cam.ac.uk/research/impact,https://impactmap.cam.ac.uk/feed/,Impact Map | University of Cambridge » Feed,1
2,University of Cambridge,https://www.cam.ac.uk/,https://www.cam.ac.uk/research/impact,https://impactmap.cam.ac.uk/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fimpactmap.cam.ac.uk%2F&format=xml,oEmbed (XML),1
2,University of Cambridge,https://www.cam.ac.uk/,https://www.cam.ac.uk/external-affiliations/national-institute-for-health-and-care-research-%28nihr%29,https://www.cam.ac.uk/taxonomy/term/81411/feed,https://www.cam.ac.uk/taxonomy/term/81411/feed,2
2,University of Cambridge,https://www.cam.ac.uk/,https://www.cam.ac.uk/external-affiliations/uk-research-and-innovation-%28ukri%29,https://www.cam.ac.uk/taxonomy/term/52122/feed,https://www.cam.ac.uk/taxonomy/term/52122/feed,2
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,0
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news-and-events,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,0
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news#main-content,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,1
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news/2025-03-25-oxford-tops-national-spinout-rankings-2025-report,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,1
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news/2024-10-09-oxford-named-best-university-world-record-ninth-consecutive-year,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,1
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news/2025-06-17-oxford-academics-awarded-european-research-council-advanced-grants-cutting-edge,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,1
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news/2025-06-27-construction-begins-state-art-research-facility,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,1
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news/2025-06-27-oxford-lead-new-50m-mrc-centre-develop-brain-stimulation-device-based-therapies,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,1
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news/2025-06-26-single-shot-malaria-vaccine-delivery-system-could-transform-global-immunisation,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,1
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news/2025-06-26-latest-rees-centre-report-calls-ethical-and-effective-information-use-improve,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,1
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news/2025-06-26-professor-karen-leeder-awarded-2025-griffin-poetry-prize,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,1
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news/2025-06-25-new-global-index-puts-nature-heart-human-progress,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,1
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news/2025-06-25-oxford-university-researchers-recognised-2025-royal-society-chemistry-prizes,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,1
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news/2025-06-25-honorary-degrees-awarded-encaenia-2025,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,1
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news/2025-06-25-how-do-vaccines-reduce-risk-dementia,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,1
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news/2025-06-24-oxford-university-lead-new-collaboration-advancing-zero-carbon-aviation-through,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,1
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news#cookie-settings,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,1
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news-and-events#main-content,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,1
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news-and-events#cookie-settings,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,1
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/research/support-researchers/researcher-hub,https://oxrss.web.ox.ac.uk/home,Oxford Research Staff Society,2
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news/2022-12-08-oxford-leads-nature-positive-universities-alliance-reverse-biodiversity-decline,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,2
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news/2025-03-24-research-chimpanzee-engineers-has-implications-understanding-human-technological,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,2
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news/2025-03-07-role-physician-and-anaesthetic-associates-uk-healthcare-challenged-largest-ever,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,2
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news/2025-03-04-oxford-and-openai-launch-collaboration-advance-research-and-education,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,2
3,University of Oxford,https://www.ox.ac.uk/,https://www.ox.ac.uk/news/2025-01-02-major-new-footprint-discoveries-britain-s-dinosaur-highway,https://www.ox.ac.uk/feeds/rss/news,https://www.ox.ac.uk/feeds/rss/news,2
